-Total- ATOMI: 1702 SCORIE: 1588 SCISSIONI: 1695 ENERGIA PRODOTTA:8548863 ENERGIA CONSUMATA: 8550000 ENERGIA ASSORBITA: 8444521

pid: 4916, parent pid: 4810, scoria: 1, inibito: 0
pid: 4917, parent pid: 4857, scoria: 1, inibito: 0
pid: 4919, parent pid: 4836, scoria: 1, inibito: 0
pid: 4918, parent pid: 4856, scoria: 1, inibito: 0
pid: 4920, parent pid: 4851, scoria: 1, inibito: 0
pid: 4921, parent pid: 4850, scoria: 1, inibito: 0
pid: 4922, parent pid: 4902, scoria: 1, inibito: 0
pid: 4923, parent pid: 4876, scoria: 1, inibito: 0
pid: 4924, parent pid: 4891, scoria: 1, inibito: 0
pid: 4926, parent pid: 4854, scoria: 1, inibito: 0
pid: 4925, parent pid: 4885, scoria: 1, inibito: 0
pid: 4927, parent pid: 4883, scoria: 1, inibito: 0
pid: 4929, parent pid: 4899, scoria: 1, inibito: 0
pid: 4928, parent pid: 4909, scoria: 1, inibito: 0
pid: 4930, parent pid: 4812, scoria: 1, inibito: 0
pid: 4931, parent pid: 4872, scoria: 1, inibito: 0
pid: 4932, parent pid: 4862, scoria: 1, inibito: 0
pid: 4933, parent pid: 4835, scoria: 1, inibito: 0
pid: 4934, parent pid: 4834, scoria: 1, inibito: 0
pid: 4936, parent pid: 4834, scoria: 1, inibito: 0
pid: 4935, parent pid: 4864, scoria: 1, inibito: 0
pid: 4937, parent pid: 4881, scoria: 1, inibito: 0
pid: 4939, parent pid: 4879, scoria: 1, inibito: 0
pid: 4938, parent pid: 4810, scoria: 1, inibito: 0
pid: 4940, parent pid: 4871, scoria: 1, inibito: 0
pid: 4941, parent pid: 4861, scoria: 1, inibito: 0
pid: 4942, parent pid: 4817, scoria: 1, inibito: 0
pid: 4944, parent pid: 4808, scoria: 1, inibito: 0
pid: 4943, parent pid: 4905, scoria: 1, inibito: 0
pid: 4947, parent pid: 4936, scoria: 1, inibito: 0
pid: 4946, parent pid: 4890, scoria: 1, inibito: 0
pid: 4945, parent pid: 4829, scoria: 1, inibito: 0
pid: 4949, parent pid: 4810, scoria: 1, inibito: 0
pid: 4948, parent pid: 4877, scoria: 1, inibito: 0
pid: 4950, parent pid: 4860, scoria: 1, inibito: 0
pid: 4951, parent pid: 4884, scoria: 1, inibito: 0
pid: 4952, parent pid: 4896, scoria: 1, inibito: 0
pid: 4953, parent pid: 4909, scoria: 1, inibito: 0
pid: 4955, parent pid: 4892, scoria: 1, inibito: 0
pid: 4954, parent pid: 4914, scoria: 1, inibito: 0
pid: 4956, parent pid: 4833, scoria: 1, inibito: 0
pid: 4957, parent pid: 4937, scoria: 1, inibito: 0
pid: 4958, parent pid: 4825, scoria: 1, inibito: 0
pid: 4962, parent pid: 4828, scoria: 1, inibito: 0
pid: 4961, parent pid: 4903, scoria: 1, inibito: 0
pid: 4964, parent pid: 4898, scoria: 1, inibito: 0
pid: 4963, parent pid: 4863, scoria: 1, inibito: 0
pid: 4965, parent pid: 4954, scoria: 1, inibito: 0
pid: 4966, parent pid: 4846, scoria: 1, inibito: 0
pid: 4967, parent pid: 4928, scoria: 1, inibito: 0
pid: 4969, parent pid: 4953, scoria: 1, inibito: 0
pid: 4968, parent pid: 4835, scoria: 1, inibito: 0
pid: 4970, parent pid: 4816, scoria: 1, inibito: 0
pid: 4972, parent pid: 4851, scoria: 1, inibito: 0
pid: 4971, parent pid: 4964, scoria: 1, inibito: 0
pid: 4973, parent pid: 4903, scoria: 1, inibito: 0
pid: 4974, parent pid: 4811, scoria: 1, inibito: 0
pid: 4975, parent pid: 4887, scoria: 1, inibito: 0
pid: 4977, parent pid: 4934, scoria: 1, inibito: 0
pid: 4978, parent pid: 4909, scoria: 1, inibito: 0
pid: 4976, parent pid: 4848, scoria: 1, inibito: 0
pid: 4981, parent pid: 4973, scoria: 1, inibito: 0
pid: 4980, parent pid: 4812, scoria: 1, inibito: 0
pid: 4979, parent pid: 4817, scoria: 1, inibito: 0
pid: 4982, parent pid: 4822, scoria: 1, inibito: 0
pid: 4984, parent pid: 4888, scoria: 1, inibito: 0
pid: 4983, parent pid: 4965, scoria: 1, inibito: 0
